date,date_orig,Close,Volume
2016-05-10,5/10/2016,208.690002,4065200
2016-05-11,5/11/2016,208.960007,5161900
2016-05-12,5/12/2016,207.279999,3650500
2016-05-13,5/13/2016,207.610001,2822800
2016-05-16,5/16/2016,208.289993,2949400
2016-05-17,5/17/2016,204.660004,2843600
2016-05-18,5/18/2016,211.169998,5617500
2016-05-19,5/19/2016,215.210007,6866300
2016-05-20,5/20/2016,220.279999,9007100
2016-05-23,5/23/2016,216.220001,5093200
2016-05-24,5/24/2016,217.910004,3013800
2016-05-25,5/25/2016,219.580002,3126800
2016-05-26,5/26/2016,225.119995,4064000
2016-05-27,5/27/2016,223.039993,3650300
2016-05-31,5/31/2016,223.229996,2789000
2016-06-01,6/1/2016,219.559998,2982700
2016-06-02,6/2/2016,218.960007,2009400
2016-06-03,6/3/2016,218.990005,2229000
2016-06-06,6/6/2016,220.679993,2249500
2016-06-07,6/7/2016,232.339996,6213600
2016-06-08,6/8/2016,235.520004,5972000
2016-06-09,6/9/2016,229.360001,4492100
2016-06-10,6/10/2016,218.789993,6026600
2016-06-13,6/13/2016,217.869995,4193000
2016-06-14,6/14/2016,214.960007,3580200
2016-06-15,6/15/2016,217.699997,2908500
2016-06-16,6/16/2016,217.929993,2440300
2016-06-17,6/17/2016,215.470001,3112600
2016-06-20,6/20/2016,219.699997,3555500
2016-06-21,6/21/2016,219.610001,4529000
2016-06-22,6/22/2016,196.660004,23742400
2016-06-23,6/23/2016,196.399994,10130700
2016-06-24,6/24/2016,193.149994,7026500
2016-06-27,6/27/2016,198.550003,7205400
2016-06-28,6/28/2016,201.789993,6212400
2016-06-29,6/29/2016,210.190002,5994900
2016-06-30,6/30/2016,212.279999,4843100
2016-07-01,7/1/2016,216.5,5400000
2016-07-05,7/5/2016,213.979996,5175300
2016-07-06,7/6/2016,214.440002,4919900
2016-07-07,7/7/2016,215.940002,3599700
2016-07-08,7/8/2016,216.779999,4074800
2016-07-11,7/11/2016,224.779999,5429800
2016-07-12,7/12/2016,224.649994,4571300
2016-07-13,7/13/2016,222.529999,3567100
2016-07-14,7/14/2016,221.529999,2675800
2016-07-15,7/15/2016,220.399994,2234200
2016-07-18,7/18/2016,226.25,3412100
2016-07-19,7/19/2016,225.259995,3115100
2016-07-20,7/20/2016,228.360001,2568500
2016-07-21,7/21/2016,220.5,4428700
2016-07-22,7/22/2016,222.270004,2579700
2016-07-25,7/25/2016,230.009995,4490700
2016-07-26,7/26/2016,229.509995,3430000
2016-07-27,7/27/2016,228.490005,2885200
2016-07-28,7/28/2016,230.610001,2419100
2016-07-29,7/29/2016,234.789993,3070800
2016-08-01,8/1/2016,230.009995,4016300
2016-08-02,8/2/2016,227.199997,3934400
2016-08-03,8/3/2016,225.789993,3887800
2016-08-04,8/4/2016,230.610001,4122800
2016-08-05,8/5/2016,230.029999,3205200
2016-08-08,8/8/2016,226.160004,2263600
2016-08-09,8/9/2016,229.080002,2207800
2016-08-10,8/10/2016,225.649994,2338300
2016-08-11,8/11/2016,224.910004,1875800
2016-08-12,8/12/2016,225.610001,1813500
2016-08-15,8/15/2016,225.589996,2034300
2016-08-16,8/16/2016,223.610001,2267100
2016-08-17,8/17/2016,223.240005,1787100
2016-08-18,8/18/2016,223.509995,1714500
2016-08-19,8/19/2016,225,1659500
2016-08-22,8/22/2016,222.929993,2065500
2016-08-23,8/23/2016,224.839996,4784400
2016-08-24,8/24/2016,222.619995,2570700
2016-08-25,8/25/2016,220.960007,1762500
2016-08-26,8/26/2016,219.990005,2239000
2016-08-29,8/29/2016,215.199997,3257100
2016-08-30,8/30/2016,211.339996,3168900
2016-08-31,8/31/2016,212.009995,3276500
2016-09-01,9/1/2016,200.770004,7943100
2016-09-02,9/2/2016,197.779999,5977400
2016-09-06,9/6/2016,202.830002,4390600
2016-09-07,9/7/2016,201.710007,3640900
2016-09-08,9/8/2016,197.360001,3370000
2016-09-09,9/9/2016,194.470001,3757000
