latitude,longitude,city,country,max_temp,humidity,cloudiness,wind_speed,url
34.536,25.5902,gra liyia,gr,78.8,78,20,4.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=gra%20liyia&units=imperial
21.7604,-47.5132,bathsheba,bb,82.4,78,75,23.04,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=bathsheba&units=imperial
2.5357,-34.1157,caucaia,br,77.0,88,20,8.05,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=caucaia&units=imperial
-7.03,28.8205,moba,cd,61.98,89,20,1.81,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=moba&units=imperial
-60.0635,119.4267,albany,au,73.4,69,90,2.26,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=albany&units=imperial
-15.9472,-130.1051,rikitea,pf,75.03,97,0,15.68,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=rikitea&units=imperial
-2.3389,69.4263,hithadhoo,mv,82.27,100,12,9.64,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=hithadhoo&units=imperial
74.8484,-0.0059,roald,no,62.6,100,100,13.87,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=roald&units=imperial
4.8565,-31.2762,touros,br,76.2,91,88,12.44,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=touros&units=imperial
-3.523,-69.2794,sao paulo de olivenca,br,74.22,96,36,2.15,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=sao%20paulo%20de%20olivenca&units=imperial
68.85,-15.2021,husavik,is,73.27,56,0,4.5,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=husavik&units=imperial
-21.262,-12.7273,jamestown,sh,55.5,64,0,14.12,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=jamestown&units=imperial
-83.1254,-32.4485,ushuaia,ar,35.6,74,75,5.82,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=ushuaia&units=imperial
-18.7689,62.8538,quatre cocos,mu,66.2,88,20,8.05,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=quatre%20cocos&units=imperial
27.1517,-26.8137,los llanos de aridane,es,73.4,69,8,13.87,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=los%20llanos%20de%20aridane&units=imperial
16.3373,18.5563,faya,td,60.8,77,0,2.93,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=faya&units=imperial
-9.5241,1.5301,jamestown,sh,55.5,64,0,14.12,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=jamestown&units=imperial
8.6078,76.4954,varkkallai,in,75.2,94,90,0.69,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=varkkallai&units=imperial
39.7863,29.2126,kestel,tr,71.6,94,75,4.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=kestel&units=imperial
-29.134,153.0381,casino,au,66.12,60,0,4.16,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=casino&units=imperial
-14.2462,20.8095,kalabo,zm,48.93,48,0,5.73,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=kalabo&units=imperial
30.826,35.5806,busayra,jo,61.08,79,0,1.59,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=busayra&units=imperial
41.4313,-73.5744,danbury,us,73.4,100,1,3.36,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=danbury&units=imperial
-38.4493,9.3072,cape town,za,44.6,81,0,4.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=cape%20town&units=imperial
45.7823,88.79,altay,cn,63.69,36,92,2.93,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=altay&units=imperial
-16.8834,-6.5384,jamestown,sh,55.5,64,0,14.12,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=jamestown&units=imperial
-54.1143,17.034,bredasdorp,za,51.8,81,0,4.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=bredasdorp&units=imperial
23.7121,121.9573,yuli,tw,70.89,92,92,9.42,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=yuli&units=imperial
8.9037,-11.2178,peyima,sl,70.53,100,92,3.71,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=peyima&units=imperial
64.1468,-34.4472,tasiilaq,gl,46.4,87,32,2.59,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=tasiilaq&units=imperial
8.6065,54.9905,bandarbeyla,so,75.3,81,0,29.33,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=bandarbeyla&units=imperial
16.1843,-41.8978,cayenne,gf,73.4,100,0,6.4,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=cayenne&units=imperial
-13.6111,-11.6137,georgetown,sh,77.0,94,40,4.7,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=georgetown&units=imperial
16.1525,-2.4449,tombouctou,ml,86.73,51,68,14.79,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=tombouctou&units=imperial
-9.5233,-103.8124,puerto ayora,ec,71.07,100,48,10.87,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=puerto%20ayora&units=imperial
4.5937,-24.0797,sao filipe,cv,75.61,100,44,9.19,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=sao%20filipe&units=imperial
24.5165,7.2574,gat,ly,75.79,90,20,7.63,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=gat&units=imperial
-34.9451,-1.4292,luderitz,na,48.34,95,24,3.71,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=luderitz&units=imperial
10.6016,61.405,salalah,om,77.0,100,90,2.24,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=salalah&units=imperial
1.4075,-50.1819,amapa,br,82.4,94,75,8.05,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=amapa&units=imperial
9.3705,69.8844,kavaratti,in,82.05,98,64,15.68,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=kavaratti&units=imperial
-41.4399,-19.523,jamestown,sh,55.5,64,0,14.12,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=jamestown&units=imperial
3.0471,-4.7892,grand-lahou,ci,73.54,88,92,6.73,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=grand-lahou&units=imperial
3.11,-32.7365,touros,br,76.2,91,88,12.44,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=touros&units=imperial
-0.0012,116.7726,samarinda,id,85.06,76,64,2.93,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=samarinda&units=imperial
12.3519,119.2105,buluang,ph,87.8,70,75,10.29,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=buluang&units=imperial
-83.777,-66.3951,ushuaia,ar,35.6,74,75,5.82,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=ushuaia&units=imperial
-31.0744,-25.8479,sao joao da barra,br,75.79,94,0,25.64,http://api.openweathermap.org/data/2.5/weather?appid=25bc90a1196e6f153eece0bc0b0fc9eb&q=sao%20joao%20da%20barra&units=imperial
